Vir: 10998, Phy: 12534, Data: 10
Vir: 6596, Phy: 29124, Data: 0
Vir: 37721, Phy: 29273, Data: 0
Vir: 43430, Phy: 29606, Data: 42
Vir: 22692, Phy: 2980, Data: 0
Vir: 62971, Phy: 28667, Data: 126
Vir: 47125, Phy: 29717, Data: 0
Vir: 52521, Phy: 29993, Data: 0
Vir: 34646, Phy: 18006, Data: 33
Vir: 32889, Phy: 4217, Data: 0
Vir: 13055, Phy: 30463, Data: -65
Vir: 65416, Phy: 30600, Data: 0
Vir: 62869, Phy: 28565, Data: 0
Vir: 57314, Phy: 30946, Data: 55
Vir: 12659, Phy: 31091, Data: 92
Vir: 14052, Phy: 31460, Data: 0
Vir: 32956, Phy: 4284, Data: 0
Vir: 49273, Phy: 8569, Data: 0
Vir: 50352, Phy: 14000, Data: 0
Vir: 49737, Phy: 31561, Data: 0
Vir: 15555, Phy: 31939, Data: 48
Vir: 47475, Phy: 32115, Data: 92
Vir: 15328, Phy: 32480, Data: 0
Vir: 34621, Phy: 17981, Data: 0
Vir: 51365, Phy: 32677, Data: 0
Vir: 32820, Phy: 4148, Data: 0
Vir: 48855, Phy: 215, Data: -75
Vir: 12224, Phy: 2752, Data: 0
Vir: 2035, Phy: 499, Data: -4
Vir: 60539, Phy: 7291, Data: 30
Vir: 14595, Phy: 515, Data: 64
Vir: 13853, Phy: 31261, Data: 0
Vir: 24143, Phy: 847, Data: -109
Vir: 15216, Phy: 32368, Data: 0
Vir: 8113, Phy: 1201, Data: 0
Vir: 22640, Phy: 2928, Data: 0
Vir: 32978, Phy: 4306, Data: 32
Vir: 39151, Phy: 4079, Data: 59
Vir: 19520, Phy: 22592, Data: 0
Vir: 58141, Phy: 1309, Data: 0
Vir: 63959, Phy: 21975, Data: 117
Vir: 53040, Phy: 1584, Data: 0
Vir: 55842, Phy: 1826, Data: 54
Vir: 585, Phy: 17225, Data: 0
Vir: 51229, Phy: 32541, Data: 0
Vir: 64181, Phy: 4533, Data: 0
Vir: 54879, Phy: 3679, Data: -105
Vir: 28210, Phy: 2098, Data: 27
Vir: 10268, Phy: 14620, Data: 0
Vir: 15395, Phy: 31779, Data: 8
Vir: 12884, Phy: 30292, Data: 0
Vir: 2149, Phy: 2405, Data: 0
Vir: 53483, Phy: 2795, Data: 58
Vir: 59606, Phy: 26070, Data: 58
Vir: 14981, Phy: 24709, Data: 0
Vir: 36672, Phy: 2880, Data: 0
Vir: 23197, Phy: 3229, Data: 0
Vir: 36518, Phy: 14502, Data: 35
Vir: 13361, Phy: 3377, Data: 0
Vir: 19810, Phy: 3682, Data: 19
Vir: 25955, Phy: 3939, Data: 88
Vir: 62678, Phy: 4310, Data: 61
Vir: 26021, Phy: 4005, Data: 0
Vir: 29409, Phy: 4577, Data: 0
Vir: 38111, Phy: 4831, Data: 55
Vir: 58573, Phy: 15565, Data: 0
Vir: 56840, Phy: 4872, Data: 0
Vir: 41306, Phy: 24922, Data: 40
Vir: 54426, Phy: 19354, Data: 53
Vir: 3617, Phy: 10017, Data: 0
Vir: 50652, Phy: 18652, Data: 0
Vir: 41452, Phy: 25068, Data: 0
Vir: 20241, Phy: 16657, Data: 0
Vir: 31723, Phy: 12267, Data: -6
Vir: 53747, Phy: 5363, Data: 124
Vir: 28550, Phy: 28038, Data: 27
Vir: 23402, Phy: 20586, Data: 22
Vir: 21205, Phy: 5589, Data: 0
Vir: 56181, Phy: 25205, Data: 0
Vir: 57470, Phy: 5758, Data: 56
Vir: 39933, Phy: 6141, Data: 0
Vir: 34964, Phy: 26772, Data: 0
Vir: 24781, Phy: 6349, Data: 0
Vir: 41747, Phy: 6419, Data: -60
Vir: 62564, Phy: 4196, Data: 0
Vir: 58461, Phy: 15453, Data: 0
Vir: 20858, Phy: 6778, Data: 20
Vir: 49301, Phy: 8597, Data: 0
Vir: 40572, Phy: 7036, Data: 0
Vir: 23840, Phy: 7200, Data: 0
Vir: 35278, Phy: 7630, Data: 34
Vir: 62905, Phy: 28601, Data: 0
Vir: 56650, Phy: 13386, Data: 55
Vir: 11149, Phy: 7821, Data: 0
